vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
M5384,30564472,MAS006_F_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.492802, -29.312883","27.556576, -29.377180",10.28,15:14:09,0:41,120,0,7.5,18,16,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,15:15:00,41,15.04390244,15,peak,M5384,Mini-bus
M5384,30567291,MAS006_R_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.554304, -29.376530","27.495806, -29.318836",8.9,15:57:52,0:14,30,0,7.5,5,4,0,Maseru,MAS006,R,Maseru Town Center,Lithabaneng,16:00:00,14,38.14285714,15,peak,M5384,Mini-bus
C9253,30567822,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.522188, -29.353624","27.492485, -29.312571",5.94,16:03:52,0:12,37.5,-5,7.5,4,5,0,Maseru,MAS005,R,Maseru Town Center,Abia,16:00:00,12,29.7,16,peak,C9253,Mini-bus
AE668,30571652,MAS002_F_Maseru Town Center_Naleli,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.498983, -29.315287","27.550385, -29.285231",7.09,16:28:28,0:19,90,0,7.5,8,12,0,Maseru,MAS002,F,Maseru Town Center,Naleli,16:30:00,19,22.38947368,16,peak,AE 668,Mini-bus
AE668,30574011,MAS002_R_Maseru Town Center_Naleli,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.535849, -29.299284","27.502934, -29.314552",4.51,16:54:10,0:11,7.5,0,7.5,2,1,0,Maseru,MAS002,R,Maseru Town Center,Naleli,17:00:00,11,24.6,16,peak,AE 668,Mini-bus
M5384,30575372,MAS006_F_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.495718, -29.318775","27.557295, -29.377502",12.24,16:14:18,0:53,120,0,7.5,17,16,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,16:15:00,53,13.85660377,16,peak,M5384,Mini-bus
AE668,30576175,MAS001_Route_Test,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.473597, -29.298708","27.473042, -29.296371",0.28,17:12:55,0:03,7.5,0,7.5,2,1,0,Maseru,MAS001,Route,Test,0,17:15:00,3,5.6,17,peak,AE 668,Mini-bus
M5384,30577754,MAS010_R_Maseru Town Center_Main North 1,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.555731, -29.376799","27.496006, -29.319174",9,17:08:30,0:17,22.5,0,7.5,5,3,0,Maseru,MAS010,R,Maseru Town Center,Main North 1,17:15:00,17,31.76470588,17,peak,M5384,Mini-bus
AE668,30579335,MAS001_Route_Test,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.485493, -29.308523","27.515070, -29.306297",3.77,17:30:21,0:11,112.5,0,7.5,3,15,0,Maseru,MAS001,Route,Test,0,17:30:00,11,20.56363636,17,peak,AE 668,Mini-bus
AH316,30581842,MAS001_Route_Test,Enumerator Test,Maseru_Association_Test,12/9/2020,"27.489897, -29.312538","27.561234, -29.279161",10.09,17:13:44,0:30,128,0,8,13,16,0,Maseru,MAS001,Route,Test,0,17:15:00,30,20.18,17,peak,AH 316,Mini-bus
